employer_id,employer_name,industry
EMP_1196,Boone-Davis LLC,Construction
EMP_1197,"Calderon, Williams and Bennett LLC",Education
EMP_1198,"Morrison, Russo and Lopez LLC",Retail
EMP_1199,"Ramsey, Hansen and Mendoza LLC",Education
EMP_1200,Turner-Stout LLC,Retail
EMP_1201,Giles Ltd LLC,Retail
EMP_1202,Burgess Group LLC,Finance
EMP_1203,Dominguez Ltd LLC,Retail
EMP_1204,Sanders and Sons LLC,Healthcare
EMP_1205,"Morris, Campbell and Owens LLC",Retail
EMP_1206,"Howard, Green and Hunt LLC",Retail
EMP_1207,Owens-Lang LLC,Retail
EMP_1208,"Harrison, Franco and Rocha LLC",Construction
EMP_1209,Edwards-Williams LLC,Healthcare
EMP_1210,Figueroa Inc LLC,Healthcare
EMP_1211,Tran-Silva LLC,Education
EMP_1212,"Butler, Hernandez and Rivera LLC",Finance
EMP_1213,Hudson-Sanchez LLC,Retail
EMP_1214,"Pena, Cohen and Scott LLC",Tech
EMP_1215,Levy-May LLC,Finance
EMP_1216,Murray-Oconnor LLC,Finance
EMP_1217,Jackson-Cortez LLC,Healthcare
EMP_1218,White-Preston LLC,Finance
EMP_1219,"Bernard, Warren and Combs LLC",Retail
EMP_1220,Landry Ltd LLC,Retail
EMP_1221,Duran Group LLC,Construction
EMP_1222,Kirby and Sons LLC,Retail
EMP_1223,Mann Inc LLC,Retail
EMP_1224,Wagner LLC LLC,Healthcare
EMP_1225,Williamson Ltd LLC,Retail
EMP_1226,"Durham, Hopkins and Smith LLC",Construction
EMP_1227,"Arnold, Smith and Moreno LLC",Tech
EMP_1228,Nichols-Mitchell LLC,Healthcare
EMP_1229,"Li, Craig and Drake LLC",Tech
EMP_1230,Rodriguez Inc LLC,Healthcare
EMP_1231,"Hernandez, Lee and Fox LLC",Education
EMP_1232,Adams-Sanders LLC,Finance
EMP_1233,Chung-Stevens LLC,Education
EMP_1234,Branch and Sons LLC,Retail
EMP_1235,Sutton-Abbott LLC,Tech
EMP_1236,"Frey, Santos and Johnson LLC",Retail
EMP_1237,Gray-Tran LLC,Finance
EMP_1238,Walsh Ltd LLC,Healthcare
EMP_1239,Miller Group LLC,Finance
EMP_1240,"Mueller, Knight and Hodge LLC",Construction
EMP_1241,Jacobson Inc LLC,Finance
EMP_1242,Lewis Ltd LLC,Construction
EMP_1243,"Alvarez, Williams and Jones LLC",Finance
EMP_1244,Lam-Elliott LLC,Construction
EMP_1245,White LLC LLC,Tech
EMP_1246,Ali PLC LLC,Retail
EMP_1247,Goodwin Ltd LLC,Retail
EMP_1248,Hickman-Evans LLC,Education
EMP_1249,"Allen, Davenport and Price LLC",Retail
EMP_1250,"Rivera, Campos and Taylor LLC",Healthcare
EMP_1251,"Ramsey, Mason and Mccann LLC",Finance
EMP_1252,Davis and Sons LLC,Education
EMP_1253,Peterson PLC LLC,Healthcare
EMP_1254,"Sanders, Ayala and Johnson LLC",Healthcare
EMP_1255,Bowers-Hayes LLC,Construction
EMP_1256,Kelly Group LLC,Retail
EMP_1257,Lopez-Willis LLC,Tech
EMP_1258,Miller-Montgomery LLC,Tech
EMP_1259,Marquez Inc LLC,Education
EMP_1260,Moore-Dawson LLC,Tech
EMP_1261,"Moore, Price and Ward LLC",Finance
EMP_1262,Smith LLC LLC,Tech
EMP_1263,Ward-Nelson LLC,Education
EMP_1264,Miller Group LLC,Tech
EMP_1265,Hawkins-Hunt LLC,Finance
EMP_1266,Johnson LLC LLC,Construction
EMP_1267,"Davis, George and Nguyen LLC",Education
EMP_1268,Smith-Gutierrez LLC,Construction
EMP_1269,Hardy PLC LLC,Construction
EMP_1270,Armstrong and Sons LLC,Construction
EMP_1271,"James, Taylor and Turner LLC",Healthcare
EMP_1272,Thomas-Jackson LLC,Retail
EMP_1273,Fisher-Washington LLC,Healthcare
EMP_1274,Ward and Sons LLC,Retail
EMP_1275,"Weber, Wheeler and Gonzalez LLC",Construction
EMP_1276,Taylor Inc LLC,Education
EMP_1277,Cook-Oliver LLC,Retail
EMP_1278,Alexander-Jordan LLC,Finance
EMP_1279,"Mccann, Taylor and Flores LLC",Finance
EMP_1280,"Harris, Edwards and Oconnell LLC",Tech
EMP_1281,Carter-Neal LLC,Retail
EMP_1282,Faulkner-Casey LLC,Education
EMP_1283,Bennett-Velasquez LLC,Healthcare
EMP_1284,Diaz-Frederick LLC,Construction
EMP_1285,Vargas PLC LLC,Tech
EMP_1286,Maldonado PLC LLC,Finance
EMP_1287,Benton Group LLC,Healthcare
EMP_1288,"Clark, Salinas and Guerra LLC",Healthcare
EMP_1289,Fuentes Group LLC,Construction
EMP_1290,"Porter, Schultz and Allen LLC",Retail
EMP_1291,"Moore, Henderson and Bennett LLC",Finance
EMP_1292,Ewing-Mendoza LLC,Education
EMP_1293,Ferguson-Mclean LLC,Healthcare
EMP_1294,"Barnes, Johnson and Schmitt LLC",Construction
EMP_1295,"Woodard, Herrera and Little LLC",Education
EMP_1296,Rodriguez and Sons LLC,Retail
EMP_1297,"Ortega, Jackson and Salazar LLC",Finance
EMP_1298,"Terrell, Byrd and Ross LLC",Retail
EMP_1299,Sheppard-Jordan LLC,Healthcare
EMP_1300,Garcia and Sons LLC,Education
EMP_1301,"Burgess, Grant and Watts LLC",Education
EMP_1302,Griffin Group LLC,Education
EMP_1303,Barton-Chapman LLC,Healthcare
EMP_1304,"Hernandez, Cuevas and Webb LLC",Healthcare
EMP_1305,Perry-Nixon LLC,Retail
EMP_1306,Guerra Ltd LLC,Tech
EMP_1307,Bailey LLC LLC,Retail
EMP_1308,Mueller-Boyd LLC,Finance
EMP_1309,Alvarez-Kim LLC,Construction
EMP_1310,"Chavez, Jones and Williams LLC",Education
EMP_1311,"Wilson, Sweeney and Wong LLC",Tech
EMP_1312,"Marsh, Spears and Yang LLC",Construction
EMP_1313,"Thompson, Moore and Castro LLC",Tech
EMP_1314,Hall-Sullivan LLC,Retail
EMP_1315,Lopez Ltd LLC,Healthcare
EMP_1316,Foster-Mclaughlin LLC,Education
EMP_1317,Cole Group LLC,Retail
EMP_1318,Smith-Lewis LLC,Construction
EMP_1319,Goodwin-Stokes LLC,Construction
EMP_1320,Ray PLC LLC,Construction
EMP_1321,Diaz and Sons LLC,Construction
EMP_1322,Wilson-Lambert LLC,Construction
EMP_1323,Rose-Fowler LLC,Tech
EMP_1324,"Price, Long and Wilson LLC",Retail
EMP_1325,Bruce-Williamson LLC,Education
EMP_1326,"Mccarthy, Evans and Mendez LLC",Healthcare
EMP_1327,Powers LLC LLC,Healthcare
EMP_1328,Allen Inc LLC,Retail
EMP_1329,Brooks and Sons LLC,Retail
EMP_1330,"Price, Carlson and Andrews LLC",Healthcare
EMP_1331,Lopez-Reid LLC,Healthcare
EMP_1332,"Ellison, Arias and Thompson LLC",Tech
EMP_1333,Burns and Sons LLC,Finance
EMP_1334,Edwards Group LLC,Education
EMP_1335,"Brown, Howard and Smith LLC",Construction
EMP_1336,Lee Group LLC,Finance
EMP_1337,"Wagner, Simpson and Cohen LLC",Retail
EMP_1338,Mckinney-Wallace LLC,Healthcare
EMP_1339,Miller Inc LLC,Finance
EMP_1340,Carter LLC LLC,Education
EMP_1341,Medina and Sons LLC,Retail
EMP_1342,Cunningham-Barton LLC,Construction
EMP_1343,Dunn-Wilson LLC,Construction
EMP_1344,Adams PLC LLC,Education
EMP_1345,Weaver-Sherman LLC,Education
EMP_1346,"Alexander, Robinson and Coleman LLC",Healthcare
EMP_1347,"Greer, Potter and Evans LLC",Construction
EMP_1348,Cole LLC LLC,Retail
EMP_1349,Gonzales Inc LLC,Finance
EMP_1350,Clark Ltd LLC,Retail
EMP_1351,"Norris, Callahan and Bishop LLC",Tech
EMP_1352,Martin-Taylor LLC,Tech
EMP_1353,Li Inc LLC,Education
EMP_1354,"Bell, Campbell and Ryan LLC",Healthcare
EMP_1355,Werner-Carter LLC,Tech
EMP_1356,"Adams, Hodge and Duke LLC",Construction
EMP_1357,"Ochoa, Taylor and Brady LLC",Retail
EMP_1358,Sellers-Riddle LLC,Retail
EMP_1359,"Martinez, Cline and Wright LLC",Education
EMP_1360,"Morris, Wright and Bridges LLC",Finance
EMP_1361,Burns-Ray LLC,Education
EMP_1362,Burton-Brooks LLC,Finance
EMP_1363,Schultz Inc LLC,Education
EMP_1364,Robertson-Ramirez LLC,Education
EMP_1365,Gibson-Freeman LLC,Education
EMP_1366,"Smith, Schroeder and Oconnor LLC",Finance
EMP_1367,"Stanton, Reid and Terry LLC",Finance
EMP_1368,Flynn Group LLC,Education
EMP_1369,Donaldson and Sons LLC,Tech
EMP_1370,Adams-Clayton LLC,Healthcare
EMP_1371,Kelley-Anderson LLC,Healthcare
EMP_1372,Kramer-Shannon LLC,Healthcare
EMP_1373,Williams Ltd LLC,Finance
EMP_1374,Smith-Noble LLC,Finance
EMP_1375,Alexander Inc LLC,Tech
EMP_1376,Harris-Barker LLC,Healthcare
EMP_1377,Khan LLC LLC,Healthcare
EMP_1378,Baxter LLC LLC,Education
EMP_1379,Pena LLC LLC,Finance
EMP_1380,Watson Ltd LLC,Healthcare
EMP_1381,Williams Ltd LLC,Retail
EMP_1382,Barber-Fischer LLC,Tech
EMP_1383,Rios-Padilla LLC,Retail
EMP_1384,Lewis Inc LLC,Retail
EMP_1385,Wheeler PLC LLC,Tech
EMP_1386,"Wallace, Smith and Cooper LLC",Retail
EMP_1387,Mcneil Group LLC,Healthcare
EMP_1388,"Anderson, Jones and Reyes LLC",Finance
EMP_1389,"Shaffer, Garcia and Richardson LLC",Tech
EMP_1390,Taylor-Ayala LLC,Education
EMP_1391,May Ltd LLC,Retail
EMP_1392,Jones PLC LLC,Tech
EMP_1393,Bishop and Sons LLC,Construction
EMP_1394,Bell-Lewis LLC,Construction
EMP_1395,"Hernandez, Jenkins and Parks LLC",Finance
EMP_1396,Miller Inc LLC,Healthcare
EMP_1397,Goodwin PLC LLC,Finance
EMP_1398,"Cruz, Richmond and Edwards LLC",Finance
EMP_1399,Wright Ltd LLC,Finance
EMP_1400,Wright PLC LLC,Finance
EMP_1401,"Griffith, Mitchell and Pugh LLC",Education
EMP_1402,Abbott Ltd LLC,Education
EMP_1403,Harris-Lawson LLC,Tech
EMP_1404,Adkins LLC LLC,Construction
EMP_1405,"Brown, Hurst and Blevins LLC",Finance
EMP_1406,Cruz-Allen LLC,Tech
EMP_1407,"Wheeler, Rice and Levine LLC",Construction
EMP_1408,Peck-Anderson LLC,Retail
EMP_1409,"Fisher, Payne and Thompson LLC",Healthcare
EMP_1410,Best-Townsend LLC,Education
EMP_1411,Matthews Inc LLC,Retail
EMP_1412,Lewis-Livingston LLC,Construction
EMP_1413,Hunter-Fuller LLC,Retail
EMP_1414,"Wang, Henderson and Morales LLC",Healthcare
EMP_1415,"Herrera, Jensen and Ramirez LLC",Construction
EMP_1416,Miller-Mccall LLC,Retail
EMP_1417,Herrera Group LLC,Education
EMP_1418,"Walters, Davenport and Becker LLC",Education
EMP_1419,Collins Group LLC,Tech
EMP_1420,"Ashley, Allen and Sanchez LLC",Retail
EMP_1421,Wilson-Salazar LLC,Finance
EMP_1422,Parker Ltd LLC,Retail
EMP_1423,"Yang, Wilson and Zimmerman LLC",Construction
EMP_1424,"Smith, Crawford and Reed LLC",Construction
EMP_1425,"Logan, Le and Jackson LLC",Retail
EMP_1426,Brady LLC LLC,Healthcare
EMP_1427,"Tanner, Wise and Johnson LLC",Education
EMP_1428,Nelson-Brown LLC,Construction
EMP_1429,"Proctor, Burton and Crawford LLC",Education
EMP_1430,"Ward, Porter and Bradley LLC",Construction
EMP_1431,Moore-Ayala LLC,Tech
EMP_1432,"Craig, Wilson and Yang LLC",Finance
EMP_1433,Williams Inc LLC,Construction
EMP_1434,Williams LLC LLC,Education
EMP_1435,Mora-White LLC,Tech
EMP_1436,Tran Ltd LLC,Construction
EMP_1437,"Rios, Walker and Wright LLC",Healthcare
EMP_1438,"Flores, Mckenzie and Duncan LLC",Finance
EMP_1439,Shaw Inc LLC,Construction
EMP_1440,Walker PLC LLC,Tech
EMP_1441,Finley Inc LLC,Healthcare
EMP_1442,Cline-Ayala LLC,Retail
EMP_1443,Murphy-Tran LLC,Tech
EMP_1444,Wood LLC LLC,Tech
EMP_1445,"Mueller, Stevenson and Sanchez LLC",Healthcare
EMP_1446,Vargas-Snyder LLC,Tech
EMP_1447,Oconnor PLC LLC,Healthcare
EMP_1448,Hernandez Group LLC,Construction
EMP_1449,Hall LLC LLC,Healthcare
EMP_1450,"Franco, Wiley and Tapia LLC",Healthcare
EMP_1451,Blake Group LLC,Finance
EMP_1452,"Acosta, Garcia and Moreno LLC",Healthcare
EMP_1453,Barnes Inc LLC,Healthcare
EMP_1454,Dawson Inc LLC,Retail
EMP_1455,Morse PLC LLC,Construction
EMP_1456,Haynes-Watson LLC,Finance
EMP_1457,"Miller, Davis and Anderson LLC",Retail
EMP_1458,Jones-Bradley LLC,Education
EMP_1459,Bates-Anderson LLC,Construction
EMP_1460,Green-Edwards LLC,Construction
EMP_1461,Haynes-Moss LLC,Education
EMP_1462,Chavez-Hall LLC,Healthcare
EMP_1463,Taylor PLC LLC,Retail
EMP_1464,Moore and Sons LLC,Tech
EMP_1465,Owens-Russell LLC,Finance
EMP_1466,"Howard, Townsend and Hayes LLC",Tech
EMP_1467,Baker-Wilson LLC,Education
EMP_1468,Aguirre LLC LLC,Construction
EMP_1469,"Terry, Williams and Huff LLC",Construction
EMP_1470,Hernandez-Dawson LLC,Finance
EMP_1471,Foster-Williams LLC,Construction
EMP_1472,Green-Ewing LLC,Construction
EMP_1473,Crane Group LLC,Finance
EMP_1474,"Adkins, Wright and Murray LLC",Retail
EMP_1475,Martinez Inc LLC,Retail
EMP_1476,Anderson Group LLC,Finance
EMP_1477,Parks-Pace LLC,Education
EMP_1478,Aguilar LLC LLC,Construction
EMP_1479,Johnson Inc LLC,Construction
EMP_1480,Orr Group LLC,Education
EMP_1481,Davis LLC LLC,Retail
EMP_1482,Williams Group LLC,Healthcare
EMP_1483,Jackson PLC LLC,Healthcare
EMP_1484,Underwood-Foster LLC,Healthcare
EMP_1485,Reyes Group LLC,Retail
EMP_1486,Gomez and Sons LLC,Retail
EMP_1487,Ramirez-Stephenson LLC,Education
EMP_1488,Mendez PLC LLC,Construction
EMP_1489,Holland Group LLC,Education
EMP_1490,Andrade-Mendoza LLC,Education
EMP_1491,Ramirez and Sons LLC,Retail
EMP_1492,Gonzalez-Wilkerson LLC,Healthcare
EMP_1493,"Wright, Mcknight and Stephens LLC",Tech
EMP_1494,Mayo Ltd LLC,Construction
EMP_1495,Castillo-Harrington LLC,Retail
EMP_1496,Durham-Shaw LLC,Healthcare
EMP_1497,Nelson-Johnson LLC,Tech
EMP_1498,"Robinson, Huang and Osborne LLC",Tech
EMP_1499,Stokes Group LLC,Retail
EMP_1500,"Howard, Silva and Hall LLC",Finance
EMP_1501,Garcia Ltd LLC,Construction
EMP_1502,Adams Ltd LLC,Tech
EMP_1503,Gallagher and Sons LLC,Retail
EMP_1504,"Bradford, Salinas and Kelly LLC",Retail
EMP_1505,Thompson PLC LLC,Healthcare
EMP_1506,Drake-Wolfe LLC,Finance
EMP_1507,"Johnson, Haynes and Meza LLC",Construction
EMP_1508,"Thomas, Vaughan and Copeland LLC",Education
EMP_1509,Weaver-Thompson LLC,Healthcare
EMP_1510,Davis and Sons LLC,Tech
EMP_1511,"Robinson, Fox and Smith LLC",Tech
EMP_1512,"Harris, Anderson and Love LLC",Healthcare
EMP_1513,Brown-Hernandez LLC,Retail
EMP_1514,"Stark, Schroeder and Mathis LLC",Tech
EMP_1515,Yu-Brooks LLC,Finance
EMP_1516,"Foster, Garcia and Turner LLC",Construction
EMP_1517,Daugherty Ltd LLC,Finance
EMP_1518,Conner-Yu LLC,Tech
EMP_1519,"Stewart, Mann and Hoffman LLC",Education
EMP_1520,"Buchanan, Walker and Chapman LLC",Construction
EMP_1521,Gray Ltd LLC,Construction
EMP_1522,"Phillips, Thompson and Smith LLC",Healthcare
EMP_1523,"Fry, Myers and Gamble LLC",Healthcare
EMP_1524,"Johnson, Guzman and Mccall LLC",Education
EMP_1525,"Walker, Cunningham and Zuniga LLC",Retail
EMP_1526,Rivera Inc LLC,Construction
EMP_1527,Reed LLC LLC,Education
EMP_1528,Fields Inc LLC,Healthcare
EMP_1529,"Santiago, Daniel and Rogers LLC",Healthcare
EMP_1530,Baker and Sons LLC,Construction
EMP_1531,"Jones, Scott and Rodriguez LLC",Finance
EMP_1532,Williams Group LLC,Tech
EMP_1533,"Barnes, Jackson and Gutierrez LLC",Healthcare
EMP_1534,Bell-Bennett LLC,Retail
EMP_1535,Kramer-Lane LLC,Retail
EMP_1536,"Perez, Hayes and Lloyd LLC",Healthcare
EMP_1537,Phillips LLC LLC,Finance
EMP_1538,Lynn-Jones LLC,Finance
EMP_1539,Barron and Sons LLC,Education
EMP_1540,"Jones, Mcmahon and Spence LLC",Retail
EMP_1541,Wheeler-Austin LLC,Education
EMP_1542,Bush-Reynolds LLC,Retail
EMP_1543,"Martin, Preston and Moore LLC",Tech
EMP_1544,Rivera and Sons LLC,Tech
EMP_1545,Terry-Bowen LLC,Construction
EMP_1546,"Fernandez, Guerrero and Evans LLC",Education
EMP_1547,Williams PLC LLC,Healthcare
EMP_1548,"Larsen, Hernandez and Ward LLC",Education
EMP_1549,Miller-Colon LLC,Healthcare
EMP_1550,"Greene, Gonzalez and Johnson LLC",Finance
EMP_1551,Little Inc LLC,Education
EMP_1552,Anthony-Parker LLC,Finance
EMP_1553,Ruiz-Jacobson LLC,Tech
EMP_1554,Davis-Stephens LLC,Tech
EMP_1555,Watson Group LLC,Construction
EMP_1556,Lopez-Williams LLC,Education
EMP_1557,Marshall-Perez LLC,Finance
EMP_1558,Elliott-Hernandez LLC,Healthcare
EMP_1559,"Contreras, Miller and Cooper LLC",Tech
EMP_1560,"Gutierrez, Avila and Perez LLC",Tech
